name,avg_rating
McGilvra's,4.800000190734863
Wendy's  (7003 W Canal Dr),4.800000190734863
Nico's Cantina,4.800000190734863
Dairy Queen Grill &amp; Chill (1434 Cranston Rd),4.800000190734863
Mazatlan Mexican Restaurant - Everett- WA,4.800000190734863
7-Eleven (2101 Hwy 114),4.800000190734863
Chicago Philly Eats,4.800000190734863
Chili's (368 Market Center),4.800000190734863
McDonald's® (Rawson &amp; 76th St),4.800000190734863
Wendy's  (5710 Harrison Blvd),4.800000190734863
Milwaukee Classic Pizza (Milwaukee),4.800000190734863
Booeymonger (Georgetown),4.800000190734863
Potomac Pizza (Rockville),4.800000190734863
Five Guys TX-1098 1321 North Loop 1604 East,4.800000190734863
Gyroland,4.800000190734863
Chicago Hot Dogs,4.800000190734863
Wendy's  (4824 Monticello Ave),4.800000190734863
Lilia's Mexican Cuisine,4.800000190734863
Kirkland Sushi,4.800000190734863
Canasta's Chicken II,4.800000190734863
Wendy's  (4422 Mormon Coulee Road),4.800000190734863
King of Falafel,4.800000190734863
Prime Pizza &amp; Grill,4.800000190734863
McDonald's® (7210 WYNDHAM PKWY),4.800000190734863
Clyde's of Chevy Chase,4.800000190734863
Dairy Queen Grill &amp; Chill (2282 SE Military Dr),4.800000190734863
Project Pollo (North San Pedro),4.800000190734863
BIG BUNS DAMN GOOD BURGER Co.,4.800000190734863
Wendy's  (4001 I-35 South),4.800000190734863
Norma's Mexican Restaurant,4.800000190734863
Proper Burger Co.,4.800000190734863
Prost,4.800000190734863
Wendy's  (4000 Jermantown Rd),4.800000190734863
Proud Mary Coffee,4.800000190734863
Gyro Grill,4.800000190734863
Five Guys TX-1097 4301 William Cannon Dr,4.800000190734863
Wendy's  (3232 LAVON DRIVE),4.800000190734863
Country Burger - Murphy,4.800000190734863
Kilroy's,4.800000190734863
McDonald's® (1622 MILTON AVE),4.800000190734863
Chubby Bunny PDX,4.800000190734863
Burger King (22022 Meridian East),4.800000190734863
NuVegan Cafe (DC),4.800000190734863
Nuno’s Tacos &amp; Vegmex Grill,4.800000190734863
Brooklyn Pizza,4.800000190734863
7-Eleven (14207 Pacific Hwy South),4.800000190734863
McDonald's® (15715 San Pedro),4.800000190734863
Wendy's  (2660 S. Moorland Blvd),4.800000190734863
Country burger house,4.800000190734863
Mission Cantina,4.800000190734863
Qui's Cafe,4.800000190734863
Quickie Too,4.800000190734863
7-Eleven (404 Sunset Blvd N),4.800000190734863
El Senor Pollo De Kent,4.800000190734863
Quincy's South Bar &amp; Grille,4.800000190734863
Dairy Queen Grill &amp; Chill (3250 Duportail St),4.800000190734863
5 Hermanos (SE Carr),4.800000190734863
Wendy's  (2427 W Harrison Ave),4.800000190734863
Chevron Extramile (524 A Street Se),4.800000190734863
Wendy's  (241 S BATTLEFIELD BLVD.),4.800000190734863
R&amp;R Barbeque (Provo Riverwoods),4.800000190734863
El Burrito Azteca (Rosa Parks),4.800000190734863
R&amp;R Barbeque (Spanish Fork),4.800000190734863
Avenue Cafe,4.800000190734863
Wendy's  (2120 John Rolfe Parkway),4.800000190734863
Austin's Pizza (William Cannon Dr),4.800000190734863
Wendy's  (2119 N. Argonne),4.800000190734863
Wendy's  (2025 East 9400 South),4.800000190734863
McDonald's® (941 EMMETT ST),4.800000190734863
Gustav’s Pub &amp; Grill (Vancouver),4.800000190734863
Wendy's  (1701 Bracknell Drive),4.800000190734863
Liberty Burger,4.800000190734863
Katsu Burger (Kent),4.800000190734863
Katsu Burger (Federal Way),4.800000190734863
Katsu Burger (Capitol Hill),4.800000190734863
Katsu Burger (Ballard),4.800000190734863
Shake Shack (South Lamar),4.800000190734863
Shake Shack (Southlake),4.800000190734863
Saltgrass (4601 City Lake Blvd W),4.800000190734863
Aurora Venezuelan Food,4.800000190734863
Wendy's  (14106 Westview Drive),4.800000190734863
7-Eleven (6946 S KINGS HIGHWAY),4.800000190734863
Wendy's  (13030 Fair Lakes Shopping Ctr),4.800000190734863
7-Eleven (6865 WELLINGTON RD),4.800000190734863
El Super Pollo (Arlington),4.800000190734863
Cow &amp; Cod,4.800000190734863
Wendy's  (10619 Se Carr Rd),4.800000190734863
7-Eleven (16920 15th Ave Ne),4.800000190734863
Wendy's  (10177 Brook Road),4.800000190734863
Five Guys UT-0409 255 North 500 West,4.800000190734863
704-Bonefish Grill (7611 Somerset Crossing Dr),4.800000190734863
