category,num_restaurants
Burgers-American-Sandwiches-Family Meals-Comfort Food-Pasta-Salads-Steak-Wings-Burgers,9
New American-Sandwiches-Comfort Food,9
Healthy-Sandwich-Soup,9
Mediterranean-Middle Eastern,9
Pizza-American-Italian-Family Friendly,9
Ice Cream &amp; Frozen Yogurt,9
Burgers-American-Chicken,9
Italian-Pizza-Sandwich-Salads-Pasta,9
American-Breakfast and Brunch,9
Pizza-Salads-American-Healthy,9
Burgers-American-Sandwiches-Wings-Salads,9
Italian-Pizza-Family Friendly,9
Desserts-Comfort Food,9
Fried Chicken-pizza,9
Mexican-Burritos-Breakfast and Brunch,9
Wings-American,9
Wings-American-Comfort Food,9
Bar Food,9
Juice and Smoothies-Healthy,9
Indian-Vegetarian-Asian-Allergy Friendly,9
American-Pizza-Italian,9
Seafood-American,9
Mediterranean-Greek-Vegetarian-Alcohol,9
Latin American-Mexican-New American-Family Meals-Family Friendly,8
American-Burgers-Comfort Food-Pasta-Sandwich,8
Healthy,8
Breakfast and Brunch-American-Sandwiches-Allergy Friendly,8
American-Fried Chicken-Group Friendly,8
European-Modern European-Sandwiches,8
Desserts-Bakery-Pastry,8
American-Fast Food-Comfort Food-Kids Friendly,8
Everyday Essentials-Convenience-Grocery-Snacks,8
Sandwich-Salads-American-Healthy,8
Everyday Essentials-Convenience-Grocery-Snacks-Home &amp; Personal Care,8
Sandwiches,8
Italian-Pasta-Alcohol,8
Sandwiches-American-Healthy-Allergy Friendly,8
Alcohol-Liquor Stores-Drinks-Wine,8
Seafood-Fish &amp; Seafood-Fish and Chips,8
Italian-Pizza-Alcohol,8
Coffee and Tea-American-Breakfast and Brunch-Exclusive to Eats,8
American-Breakfast and Brunch-Burgers,8
American-Breakfast &amp; Brunch-Salads,8
Traditional American-Burgers-Wings-Comfort Food-Pasta-Salads-Sandwiches-Steak-American,8
Pizza-Italian-Desserts,8
Burgers-American-Sandwiches-Comfort Food-Chicken-Family Meals,8
Asian-Asian Fusion-Japanese,8
